# libretro cheat filename -> N64 header key.
# Generated by tools/mkcheatkeys.py from the MATCH_* rows in src/menu/rom_info.c.
# Pure facts: a filename and three header fields. Regenerate rather than edit.
# region is the byte the filename says will sit at header 0x3E, where game_code
# ends in the ANY-region wildcard; mkcheatdb makes a second, narrower row of it.
# filename	game_code	version	check_code	region
1080 SNOWBOARDING	NTE?	255	0x0000000000000000	
40 WINKS	N4W?	255	0x0000000000000000	
40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07)	N4W?	255	0x0000000000000000	P
64 Hanafuda - Tenshi no Yakusoku (Japan)	NHF?	255	0x0000000000000000	J
64 Oozumou (Japan)	NOS?	255	0x0000000000000000	J
64 Oozumou 2 (Japan)	NO2?	255	0x0000000000000000	J
A Bugs Life (F)	NBY?	255	0x0000000000000000	F
A Bugs Life (I)	NBY?	255	0x0000000000000000	I
A Bugs Life (J)	NBY?	255	0x0000000000000000	J
A Bugs Life	NBY?	255	0x0000000000000000	
AEROGAUGE	NAG?	255	0x0000000000000000	
AI Shougi 3 (Japan)	NS3?	255	0x0000000000000000	J
AeroFighters Assault (Europe) (En,Fr,De)	NER?	255	0x0000000000000000	P
AeroFighters Assault (USA)	NER?	255	0x0000000000000000	E
AeroGauge (Europe) (En,Fr,De)	NAG?	255	0x0000000000000000	P
AeroGauge (J) (V1.1)	NAG?	1	0x0000000000000000	J
AeroGauge (Japan) (Rev 1)	NAG?	1	0x0000000000000000	J
AeroGauge (USA)	NAG?	255	0x0000000000000000	E
Aerofighters Assault (U)	NER?	255	0x0000000000000000	E
Aidyn Chronicles - The First Mage (E)	NAY?	255	0x0000000000000000	P
Aidyn Chronicles - The First Mage (Europe)	NAY?	255	0x0000000000000000	P
Aidyn Chronicles - The First Mage (U)	NAY?	255	0x0000000000000000	E
Aidyn Chronicles - The First Mage (USA) (Rev 1)	NAY?	1	0x0000000000000000	E
Aidyn Chronicles - The First Mage (USA)	NAY?	255	0x0000000000000000	E
Air Boarder 64 (Japan)	NAB?	255	0x0000000000000000	J
Airboarder 64 (E)	NAB?	255	0x0000000000000000	P
Airboarder 64 (Europe)	NAB?	255	0x0000000000000000	P
Airboarder 64 (J)	NAB?	255	0x0000000000000000	J
Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan)	ND4J	255	0x0000000000000000	
Akumajou Dracula Mokushiroku Gaiden-Legend of Cornell (J)	ND4J	255	0x0000000000000000	
All Star Baseball 99 (E)	NBS?	255	0x0000000000000000	P
All Star Tennis '99 (Europe) (En,Fr,De,Es,It)	NTN?	255	0x0000000000000000	P
All Star Tennis 99 (E)	NTN?	255	0x0000000000000000	P
All Star Tennis 99 (U)	NTN?	255	0x0000000000000000	E
All Star Tennis 99 (USA)	NTN?	255	0x0000000000000000	E
All-Star Baseball 2000 (Europe)	NBE?	255	0x0000000000000000	P
All-Star Baseball 2000 (U)	NBE?	255	0x0000000000000000	E
All-Star Baseball 2000 (USA)	NBE?	255	0x0000000000000000	E
All-Star Baseball 2001 (USA)	NAS?	255	0x0000000000000000	E
All-Star Baseball 99 (Europe)	NBS?	255	0x0000000000000000	P
All-Star Baseball 99 (U)	NBS?	255	0x0000000000000000	E
All-Star Baseball 99 (USA)	NBS?	255	0x0000000000000000	E
Armorines - Project S.W.A.R.M. (E)	NAR?	255	0x0000000000000000	P
Armorines - Project S.W.A.R.M. (Europe)	NAR?	255	0x0000000000000000	P
Armorines - Project S.W.A.R.M. (Germany)	NAR?	255	0x0000000000000000	D
Armorines - Project S.W.A.R.M. (U)	NAR?	255	0x0000000000000000	E
Armorines - Project S.W.A.R.M. (USA)	NAR?	255	0x0000000000000000	E
Army Men - Air Combat (U)	NAC?	255	0x0000000000000000	E
Army Men - Air Combat (USA)	NAC?	255	0x0000000000000000	E
Army Men - Sarge's Heroes (Europe) (En,Fr,De)	NAM?	255	0x0000000000000000	P
Army Men - Sarge's Heroes (USA)	NAM?	255	0x0000000000000000	E
Army Men - Sarge's Heroes 2 (USA)	N32?	255	0x0000000000000000	E
Army Men - Sarges Heroes (U)	NAM?	255	0x0000000000000000	E
Army Men - Sarges Heroes 2 (U)	N32?	255	0x0000000000000000	E
Asteroids Hyper 64 (U)	NAH?	255	0x0000000000000000	E
Asteroids Hyper 64 (USA)	NAH?	255	0x0000000000000000	E
Automobili Lamborghini (Europe)	NLC?	255	0x0000000000000000	P
Automobili Lamborghini (U)	NLC?	255	0x0000000000000000	E
Automobili Lamborghini (USA)	NLC?	255	0x0000000000000000	E
BANJO TOOIE	NB7?	255	0x0000000000000000	
Bakuretsu Muteki Bangaioh (Japan)	NBN?	255	0x0000000000000000	J
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan)	NBJ?	255	0x0000000000000000	J
Banjo-Kazooie (E)	NBK?	255	0x0000000000000000	P
Banjo-Kazooie (Europe) (En,Fr,De)	NBK?	255	0x0000000000000000	P
Banjo-Kazooie (USA) (Rev 1)	NBK?	1	0x0000000000000000	E
Banjo-Kazooie (USA)	NBK?	255	0x0000000000000000	E
Banjo-Kazooie	NBK?	255	0x0000000000000000	
Banjo-Tooie (Australia)	NB7?	255	0x0000000000000000	U
Banjo-Tooie (Europe) (En,Fr,De,Es)	NB7?	255	0x0000000000000000	P
Banjo-Tooie (U)	NB7?	255	0x0000000000000000	E
Banjo-Tooie (USA)	NB7?	255	0x0000000000000000	E
Bass Rush - ECOGEAR PowerWorm Championship (Japan)	NVB?	255	0x0000000000000000	J
Bassmasters 2000 (U)	NB4?	255	0x0000000000000000	E
Bassmasters 2000 (USA)	NB4?	255	0x0000000000000000	E
Batman Beyond - Return of the Joker (E)	NJQ?	255	0x0000000000000000	P
Batman Beyond - Return of the Joker (U)	NJQ?	255	0x0000000000000000	E
Batman Beyond - Return of the Joker (USA)	NJQ?	255	0x0000000000000000	E
BattleTanx (U)	NBX?	255	0x0000000000000000	E
BattleTanx (USA)	NBX?	255	0x0000000000000000	E
BattleTanx - Global Assault (E)	NBQ?	255	0x0000000000000000	P
BattleTanx - Global Assault (Europe) (En,Fr,De)	NBQ?	255	0x0000000000000000	P
BattleTanx - Global Assault (U)	NBQ?	255	0x0000000000000000	E
Battlezone - Rise of the Black Dogs (U)	NZO?	255	0x0000000000000000	E
Battlezone - Rise of the Black Dogs (USA)	NZO?	255	0x0000000000000000	E
Beetle Adventure Racing (U)	NNS?	255	0x0000000000000000	E
Beetle Adventure Racing! (Japan)	NB8?	255	0x0000000000000000	J
Beetle Adventure Racing! (USA) (En,Fr,De)	NNS?	255	0x0000000000000000	E
Big Mountain 2000 (U)	NMU?	255	0x0000000000000000	E
Big Mountain 2000 (USA)	NMU?	255	0x0000000000000000	E
Bio F.R.E.A.K.S. (E)	NBF?	255	0x0000000000000000	P
Bio F.R.E.A.K.S. (Europe)	NBF?	255	0x0000000000000000	P
Bio F.R.E.A.K.S. (U)	NBF?	255	0x0000000000000000	E
Bio F.R.E.A.K.S. (USA)	NBF?	255	0x0000000000000000	E
Biohazard 2 (Japan)	NB5?	255	0x0000000000000000	J
Blast Corps (E)	NBC?	255	0x0000000000000000	P
Blast Corps (Europe) (En,De)	NBC?	255	0x0000000000000000	P
Blast Corps (U) (V1.0)	NBC?	0	0x0000000000000000	E
Blast Corps (U) (V1.1)	NBC?	1	0x0000000000000000	E
Blast Corps (USA) (Rev 1)	NBC?	1	0x0000000000000000	E
Blast Corps (USA)	NBC?	255	0x0000000000000000	E
Blues Brothers 2000 (E)	NBP?	255	0x0000000000000000	P
Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)	NBP?	255	0x0000000000000000	P
Blues Brothers 2000 (U)	NBP?	255	0x0000000000000000	E
Blues Brothers 2000 (USA)	NBP?	255	0x0000000000000000	E
Body Harvest (E)	NBH?	255	0x0000000000000000	P
Body Harvest (Europe) (En,Fr,De)	NBH?	255	0x0000000000000000	P
Body Harvest (U)	NBH?	255	0x0000000000000000	E
Body Harvest (USA)	NBH?	255	0x0000000000000000	E
Bomber Man 64 (Japan)	NBM?	255	0x0000000000000000	J
Bomberman 64 (E)	NBM?	255	0x0000000000000000	P
Bomberman 64 (Europe)	NBM?	255	0x0000000000000000	P
Bomberman 64 (U)	NBM?	255	0x0000000000000000	E
Bomberman 64 (USA)	NBM?	255	0x0000000000000000	E
Bomberman 64 - Arcade Edition (J)	NHA?	255	0x0000000000000000	J
Bomberman 64 - The Second Attack (U)	NBV?	255	0x0000000000000000	E
Bomberman 64 - The Second Attack! (USA)	NBV?	255	0x0000000000000000	E
Bomberman Hero (E)	NBD?	255	0x0000000000000000	P
Bomberman Hero (Europe)	NBD?	255	0x0000000000000000	P
Bomberman Hero (J)	NBD?	255	0x0000000000000000	J
Bomberman Hero (U)	NBD?	255	0x0000000000000000	E
Bomberman Hero (USA)	NBD?	255	0x0000000000000000	E
Bottom of the 9th (USA)	NBO?	255	0x0000000000000000	E
Brunswick Circuit Pro Bowling (USA)	NOW?	255	0x0000000000000000	E
Buck Bumble (E)	NBL?	255	0x0000000000000000	P
Buck Bumble (Europe) (En,Fr,De,Es,It)	NBL?	255	0x0000000000000000	P
Buck Bumble (J)	NBL?	255	0x0000000000000000	J
Buck Bumble (Japan)	NBL?	255	0x0000000000000000	J
Buck Bumble (U)	NBL?	255	0x0000000000000000	E
Buck Bumble (USA)	NBL?	255	0x0000000000000000	E
Bug's Life, A (Europe)	NBY?	255	0x0000000000000000	P
Bug's Life, A (Italy)	NBY?	255	0x0000000000000000	I
Bug's Life, A (USA)	NBY?	255	0x0000000000000000	E
Bust A Move 99 (U)	NB3?	255	0x0000000000000000	E
Bust-A-Move '99 (USA)	NB3?	255	0x0000000000000000	E
Bust-A-Move 2 - Arcade Edition (E)	NBU?	255	0x0000000000000000	P
Bust-A-Move 2 - Arcade Edition (Europe)	NBU?	255	0x0000000000000000	P
Bust-A-Move 2 - Arcade Edition (U)	NBU?	255	0x0000000000000000	E
Bust-A-Move 2 - Arcade Edition (USA)	NBU?	255	0x0000000000000000	E
CASTLEVANIA	ND3?	255	0x0000000000000000	
California Speed (Europe) (Proto)	NCL?	255	0x0000000000000000	P
California Speed (U)	NCL?	255	0x0000000000000000	E
California Speed (USA)	NCL?	255	0x0000000000000000	E
Carmageddon 64 (Europe) (En,Fr,De,Es)	NCD?	255	0x0000000000000000	P
Carmageddon 64 (Europe) (En,Fr,Es,It)	NCD?	255	0x0000000000000000	P
Carmageddon 64 (USA)	NCD?	255	0x0000000000000000	E
Castlevania (Europe) (En,Fr,De)	ND3?	255	0x0000000000000000	P
Castlevania (U) (V1.0)	ND3?	0	0x0000000000000000	E
Castlevania (U) (V1.1)	ND3?	1	0x0000000000000000	E
Castlevania (USA)	ND3?	255	0x0000000000000000	E
Castlevania - Legacy of Darkness (E)	ND4?	255	0x0000000000000000	P
Castlevania - Legacy of Darkness (Europe) (En,Fr,De)	ND4?	255	0x0000000000000000	P
Castlevania - Legacy of Darkness (U)	ND4?	255	0x0000000000000000	E
Castlevania - Legacy of Darkness (USA)	ND4?	255	0x0000000000000000	E
Centre Court Tennis (E)	NTS?	255	0x0000000000000000	P
Centre Court Tennis (Europe)	NTS?	255	0x0000000000000000	P
Chameleon Twist (E)	NCT?	255	0x0000000000000000	P
Chameleon Twist (Europe)	NCT?	255	0x0000000000000000	P
Chameleon Twist (J)	NCT?	255	0x0000000000000000	J
Chameleon Twist (Japan)	NCT?	255	0x0000000000000000	J
Chameleon Twist (U)	NCT?	255	0x0000000000000000	E
Chameleon Twist (USA)	NCT?	255	0x0000000000000000	E
